entity	type	n	median_d	rms_d	max_d
African	supervised	361	0.009734020672755672	0.05425431141715481	0.21163080150319383
American	supervised	50	0.02042571228943966	0.07468466795841971	0.1809362816926561
East Asian	supervised	487	0.024386589092636253	0.03446504015521602	0.05766489564041964
European	supervised	630	0.04727191821572759	0.06949872164726231	0.16695962013457805
Oceanian	supervised	16	0.0058775454839232934	0.006131169347524255	0.009095342351041128
South Asian	supervised	304	0.01682632656986304	0.021865013093342833	0.07244271822108855
