supervised_group	n	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	PC11_AVG	PC12_AVG	PC13_AVG	PC14_AVG	PC15_AVG	PC16_AVG	PC17_AVG	PC18_AVG	PC19_AVG	PC20_AVG
African	483	-0.1696792754434431	-0.06344260061463207	0.0038365935495664263	-0.0010469508097908082	0.0053219223151568205	0.0029853663692993334	0.010022913088291629	0.01219913090024286	0.0018539536474450097	0.00034298334125063365	0.003568741063500594	-0.0030046852383270066	0.0029795746724602403	0.0015820202447681716	0.008037569110278987	0.0008584546970990225	-0.012735573165786085	-0.003068264545788675	-0.016356148835087	0.0008334505855867317
American	57	0.020034846728342087	0.10417442927294468	0.17351385669021357	0.12523020119388723	-0.010057794484417	-0.00021025318974230735	-0.0029831400855853357	6.1664799672605855e-06	0.00133862677273145	-0.008483695264439853	0.001508250644294728	0.000990835465583841	0.00017945871027051148	-0.0010562852333234516	0.0009482090866303125	-0.0040433533107132255	-0.0025020703978634964	-0.0037368324676490625	0.00145451619009697	-0.0006924513449200173
East Asian	551	-0.012770645208946477	0.14891726226478674	-0.004932562761387603	-0.04386399665624844	-0.0028745142959193688	0.005994621870513213	0.0004940185790780011	-0.0009073243921502202	0.0032444610615313067	-0.002203755972901898	0.0009972705346268337	-0.0005675417550551461	-0.0008126555148643283	-0.0001374444962036943	-0.00035440229720266566	0.0003975657995971852	-0.0003828400401415953	-0.00020826298358450225	-0.0001398934417025041	-0.00317635826774487
European	740	0.10876035575306314	-0.08229096234397773	0.014793095730458164	-0.03542928071447168	0.019056198736382524	-0.001042289002455308	0.00459436989398778	-0.005155671325536333	0.0032295832091751107	0.001701882990047348	0.0023652981744629155	-0.006246269248052055	0.0003683169923611519	-0.008418814714919799	0.0016234592019279347	-0.0067607892731626025	-0.0009675792946229545	-0.002940201734102604	0.002336060643949777	-0.0027758864741963154
Oceanian	17	-0.015814642046903023	0.07404134214690516	-0.04842415714810919	0.027322760016927933	0.028980162419612977	-0.29643693186236625	-0.01962784163324281	0.030798193586384793	0.011780477317248414	0.005623132700052593	0.012252802755609716	-0.0035670419237582287	-0.0045227194855621145	0.0008695874614747816	-0.0021703152308032306	0.0006002392769023043	-0.00107533771762338	-0.0010075310077084373	-0.002030234976614751	0.0013875636668422716
South Asian	324	0.03806832399882446	0.01671232336491998	-0.07459529490988134	0.067834848590895	0.00487937006720343	0.003664835110895214	0.01233267784827368	-0.010228180965381388	-0.009967409237743287	0.0002651210531571387	-0.004739435181282689	0.0021942504685393788	0.005106990645513608	0.000370917146925951	0.0006765669349486858	-0.001320439368821538	0.0005730784085051572	-0.00037402344102260593	-0.0003537043277639041	-0.0013318983066680332
